"Season","Team","Basic","1B","2B","3B","HR","SO","BB","GB","FB","LD","IFFB"
"2013","Angels","96","100","95","88","95","100","97","99","100","99","97"
"2013","Orioles","103","102","100","90","110","99","100","101","100","100","98"
"2013","Red Sox","104","101","113","102","97","99","98","101","100","104","102"
"2013","White Sox","104","98","98","87","112","102","107","97","102","98","102"
"2013","Indians","96","99","101","83","97","101","98","101","98","101","97"
"2013","Tigers","102","101","100","117","99","96","99","101","104","97","105"
"2013","Royals","102","103","102","121","94","97","100","103","101","100","94"
"2013","Twins","100","101","101","109","93","98","99","101","97","104","99"
"2013","Yankees","103","100","97","84","110","100","101","100","100","98","100"
"2013","Athletics","97","98","97","106","92","99","101","99","101","100","105"
"2013","Mariners","100","100","103","89","97","102","99","100","103","98","103"
"2013","Rays","95","98","96","110","96","101","99","98","101","98","112"
"2013","Rangers","106","102","103","106","107","98","102","100","101","103","97"
"2013","Blue Jays","102","97","105","104","107","102","99","99","101","100","98"
"2013","Diamondbacks","104","100","106","120","103","99","98","100","99","99","98"
"2013","Braves","99","100","99","98","97","102","100","99","99","103","96"
"2013","Cubs","104","102","101","102","102","100","102","100","101","100","100"
"2013","Reds","101","99","98","98","112","102","100","99","100","99","102"
"2013","Rockies","115","107","109","125","113","96","101","105","99","108","94"
"2013","Marlins","101","101","101","109","89","99","101","99","100","101","98"
"2013","Astros","99","99","99","104","104","103","101","100","101","99","100"
"2013","Dodgers","95","100","97","78","99","100","97","100","100","97","107"
"2013","Brewers","101","98","101","102","110","102","102","98","103","100","100"
"2013","Nationals","100","102","101","95","99","97","96","101","101","101","100"
"2013","Mets","96","97","94","89","103","102","100","97","104","98","107"
"2013","Phillies","101","98","101","95","105","101","101","99","100","98","98"
"2013","Pirates","97","101","100","92","90","95","96","102","99","100","98"
"2013","Cardinals","97","100","97","90","92","99","100","100","99","101","100"
"2013","Padres","95","98","94","104","98","102","100","101","98","97","98"
"2013","Giants","94","99","99","102","89","99","99","101","96","100","97"
