Season,Team,Batting,Base Running,Fielding,Positional,Offense,Defense,League,Replacement,RAR,WAR,Dollars,Salary
2005,Mariners,-3.1,0.4,-0.3,0.1,-2.8,-0.2,0.1,0.6,-2.3,-0.2,($0.8), 
2006,2 Teams,2.2,-1.1,4,-1.8,1.1,2.2,0.5,5.6,9.5,0.9,$3.4, 
2007,Indians,-1,-0.1,2,-0.2,-1,1.8,0.1,0.6,1.5,0.1,$0.6, 
2008,Indians,22.7,1.5,-1.9,-4.4,24.2,-6.3,1.2,11.3,30.4,3,$13.7,$0.4
2009,Indians,29,4.6,-1,-7.7,33.6,-8.7,2.6,20.9,48.4,4.8,$21.8, 
2010,Indians,34.2,1.6,6.3,-6.6,35.8,-0.3,2.6,19.1,57.1,5.9,$23.7, 
2011,Indians,2.5,0.2,2.1,-3.8,2.7,-1.7,1.1,10.4,12.5,1.3,$6.0, 
2012,Indians,25.1,-0.7,-16.7,-6.9,24.4,-23.6,2.1,20.3,23.2,2.4,$10.9, 
2013,Reds,40.9,-0.6,-15.5,2.1,40.3,-13.3,1,20.3,48.4,5.2,$26.1, 
Total,- - -,152.5,5.8,-20.9,-29.1,158.3,-50.1,11.3,109.2,228.7,23.6,$105.3,$0.4
